text,label
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
I am so frustrated with this situation,angry
This makes me really mad right now,angry
I can't believe how annoying this is today,angry
"Honestly, i'm furious about what happened",angry
This is absolutely infuriating and I can't help it,angry
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
This is absolutely revolting,disgust
I find this really gross right now,disgust
That's disgusting and unacceptable today,disgust
"Honestly, i'm repulsed by this behavior",disgust
This makes me feel sick and I can't help it,disgust
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm really scared about this,fear
This situation terrifies me right now,fear
I'm worried something bad will happen today,fear
"Honestly, i feel anxious and afraid",fear
This is frightening and overwhelming and I can't help it,fear
I'm so excited and joyful,happy
This makes me really happy right now,happy
I feel wonderful and blessed today,happy
"Honestly, i'm thrilled about this news",happy
This brings me so much joy and I can't help it,happy
I'm so excited and joyful,happy
This makes me really happy right now,happy
I feel wonderful and blessed today,happy
"Honestly, i'm thrilled about this news",happy
This brings me so much joy and I can't help it,happy
I'm so excited and joyful,happy
This makes me really happy right now,happy
I feel wonderful and blessed today,happy
"Honestly, i'm thrilled about this news",happy
This brings me so much joy and I can't help it,happy
I'm so excited and joyful,happy
This makes me really happy right now,happy
I feel wonderful and blessed today,happy
"Honestly, i'm thrilled about this news",happy
This brings me so much joy and I can't help it,happy
I'm so excited and joyful,happy
This makes me really happy right now,happy
I feel wonderful and blessed today,happy
"Honestly, i'm thrilled about this news",happy
This brings me so much joy and I can't help it,happy
I'm so excited and joyful,happy
This makes me really happy right now,happy
I feel wonderful and blessed today,happy
"Honestly, i'm thrilled about this news",happy
This brings me so much joy and I can't help it,happy
I'm so excited and joyful,happy
This makes me really happy right now,happy
I feel wonderful and blessed today,happy
"Honestly, i'm thrilled about this news",happy
This brings me so much joy and I can't help it,happy
I'm so excited and joyful,happy
This makes me really happy right now,happy
I feel wonderful and blessed today,happy
"Honestly, i'm thrilled about this news",happy
This brings me so much joy and I can't help it,happy
I'm so excited and joyful,happy
This makes me really happy right now,happy
I feel wonderful and blessed today,happy
"Honestly, i'm thrilled about this news",happy
This brings me so much joy and I can't help it,happy
I'm so excited and joyful,happy
This makes me really happy right now,happy
I feel wonderful and blessed today,happy
"Honestly, i'm thrilled about this news",happy
This brings me so much joy and I can't help it,happy
I'm so excited and joyful,happy
This makes me really happy right now,happy
I feel wonderful and blessed today,happy
"Honestly, i'm thrilled about this news",happy
This brings me so much joy and I can't help it,happy
I'm so excited and joyful,happy
This makes me really happy right now,happy
I feel wonderful and blessed today,happy
"Honestly, i'm thrilled about this news",happy
This brings me so much joy and I can't help it,happy
I'm so excited and joyful,happy
This makes me really happy right now,happy
I feel wonderful and blessed today,happy
"Honestly, i'm thrilled about this news",happy
This brings me so much joy and I can't help it,happy
I'm so excited and joyful,happy
This makes me really happy right now,happy
I feel wonderful and blessed today,happy
"Honestly, i'm thrilled about this news",happy
This brings me so much joy and I can't help it,happy
I'm so excited and joyful,happy
This makes me really happy right now,happy
I feel wonderful and blessed today,happy
"Honestly, i'm thrilled about this news",happy
This brings me so much joy and I can't help it,happy
I'm so excited and joyful,happy
This makes me really happy right now,happy
I feel wonderful and blessed today,happy
